ticker_raw,name_cn,sub_industry,gics_sector,hs_sector,code
3750 HK,宁德时代,新能源产业链,Industrials,工业,3750.HK
3931 HK,中创新航,新能源产业链,Consumer Discretionary,工业,3931.HK
2579 HK,中伟新材,新能源产业链,Industrials,工业,2579.HK
470 HK,先导智能,新能源产业链,Industrials,工业,0470.HK
968 HK,信义光能,新能源产业链,Information Technology,原材料业,0968.HK
6865 HK,福莱特玻璃,新能源产业链,Information Technology,工业,6865.HK
3800 HK,协鑫科技,新能源产业链,Information Technology,原材料业,3800.HK
2057 HK,中通快递-W,交运,Industrials,工业,2057.HK
2618 HK,京东物流,交运,Industrials,工业,2618.HK
9699 HK,顺丰同城,交运,Industrials,工业,9699.HK
6936 HK,顺丰控股,交运,Industrials,工业,6936.HK
YMM US,满帮集团,交运,Industrials,工业,
1308 HK,海丰国际,交运,Industrials,工业,1308.HK
1919 HK,中远海控,交运,Industrials,工业,1919.HK
316 HK,东方海外国际,交运,Industrials,工业,0316.HK
1138 HK,中远海能,交运,Energy,工业,1138.HK
1055 HK,中国南方航空股份,交运,Industrials,工业,1055.HK
293 HK,国泰航空,交运,Industrials,工业,0293.HK
753 HK,中国国航,交运,Industrials,工业,0753.HK
670 HK,中国东方航空股份,交运,Industrials,工业,0670.HK
1 HK,长和,综合企业,Industrials,综合企业,0001.HK
267 HK,中信股份,综合企业,Industrials,综合企业,0267.HK
19 HK,太古股份公司A,综合企业,Industrials,综合企业,0019.HK
66 HK,港铁公司,综合企业,Industrials,工业,0066.HK
3800 HK,协鑫科技,其他工业,Information Technology,原材料业,3800.HK
6865 HK,福莱特玻璃,其他工业,Information Technology,工业,6865.HK
968 HK,信义光能,其他工业,Information Technology,原材料业,0968.HK
2208 HK,金风科技,其他工业,Industrials,工业,2208.HK
1072 HK,东方电气,其他工业,Industrials,工业,1072.HK
1133 HK,哈尔滨电气,其他工业,Industrials,工业,1133.HK
317 HK,中船防务,其他工业,Industrials,工业,0317.HK
631 HK,三一国际,其他工业,Industrials,工业,0631.HK
6031 HK,三一重工,其他工业,Industrials,工业,6031.HK
1157 HK,中联重科,其他工业,Industrials,工业,1157.HK
1766 HK,中国中车,其他工业,Industrials,工业,1766.HK
3898 HK,时代电气,其他工业,Industrials,工业,3898.HK
390 HK,中国中铁,其他工业,Industrials,工业,0390.HK
3311 HK,中国建筑国际,其他工业,Industrials,地产建筑业,3311.HK
669 HK,创科实业,其他工业,Industrials,工业,0669.HK
2039 HK,中集集团,其他工业,Industrials,工业,2039.HK
1651 HK,津上机床中国,其他工业,Industrials,工业,1651.HK
1286 HK,鹰普精密,其他工业,Industrials,工业,1286.HK
2590 HK,极智嘉-W,其他工业,Industrials,工业,2590.HK
2507 HK,西锐,其他工业,Industrials,工业,2507.HK
1882 HK,海天国际,其他工业,Industrials,工业,1882.HK
1818 HK,招金矿业,贵金属,Materials,原材料业,1818.HK
1787 HK,山东黄金,贵金属,Materials,原材料业,1787.HK
2259 HK,紫金黄金国际,贵金属,Materials,原材料业,2259.HK
3939 HK,万国黄金集团,贵金属,Materials,原材料业,3939.HK
3330 HK,灵宝黄金,贵金属,Materials,原材料业,3330.HK
2899 HK,紫金矿业,工业金属,Materials,原材料业,2899.HK
3993 HK,洛阳钼业,工业金属,Materials,原材料业,3993.HK
358 HK,江西铜业股份,工业金属,Materials,原材料业,0358.HK
