code,name,sector
VEEV.US,Veeva Systems,Health Care
VTR.US,Ventas,Real Estate
VLTO.US,Veralto,Industrials
VRSN.US,Verisign,Information Technology
VRSK.US,Verisk Analytics,Industrials
VZ.US,Verizon,Communication Services
VRTX.US,Vertex Pharmaceuticals,Health Care
VRT.US,Vertiv,Industrials
VTRS.US,Viatris,Health Care
VICI.US,Vici Properties,Real Estate
V.US,Visa Inc.,Financials
VST.US,Vistra Corp.,Utilities
VMC.US,Vulcan Materials Company,Materials
WRB.US,W. R. Berkley Corporation,Financials
GWW.US,W. W. Grainger,Industrials
WAB.US,Wabtec,Industrials
WMT.US,Walmart,Consumer Staples
DIS.US,Walt Disney Company (The),Communication Services
WBD.US,Warner Bros. Discovery,Communication Services
WM.US,Waste Management,Industrials
WAT.US,Waters Corporation,Health Care
WEC.US,WEC Energy Group,Utilities
WFC.US,Wells Fargo,Financials
WELL.US,Welltower,Real Estate
WST.US,West Pharmaceutical Services,Health Care
WDC.US,Western Digital,Information Technology
WY.US,Weyerhaeuser,Real Estate
WSM.US,"Williams-Sonoma, Inc.",Consumer Discretionary
WMB.US,Williams Companies,Energy
WTW.US,Willis Towers Watson,Financials
WDAY.US,"Workday, Inc.",Information Technology
WYNN.US,Wynn Resorts,Consumer Discretionary
XEL.US,Xcel Energy,Utilities
XYL.US,Xylem Inc.,Industrials
YUM.US,Yum! Brands,Consumer Discretionary
ZBRA.US,Zebra Technologies,Information Technology
ZBH.US,Zimmer Biomet,Health Care
ZTS.US,Zoetis,Health Care
ALNY.US,Alnylam Pharmaceuticals,Health Care
ARM.US,Arm Holdings,Technology
ASML.US,ASML Holding,Technology
ALAB.US,Astera Labs,Technology
CCEP.US,Coca-Cola Europacific Partners,Consumer Staples
CRWV.US,CoreWeave,Technology
FER.US,Ferrovial,Industrials
MELI.US,Mercado Libre,Consumer Discretionary
MSTR.US,MicroStrategy,Technology
NBIS.US,Nebius Group,Technology
PDD.US,PDD Holdings,Technology
RKLB.US,Rocket Lab,Industrials
SHOP.US,Shopify,Technology
SPCX.US,SpaceX,Telecommunications
TRI.US,Thomson Reuters,Technology
SAP.US,SAP SE,Information Technology
NTDOY.US,Nintendo,Communication Services
SONY.US,Sony Group,Communication Services
TM.US,Toyota Motor,Consumer Discretionary
MRAAY.US,Murata Manufacturing,Information Technology
LPL.US,LG Display,Information Technology
PKX.US,POSCO,Materials
SKM.US,SK Telecom,Communication Services
SKHY.US,SK Hynix,Information Technology
