ticker_raw,name_cn,gics_sector,code
9630 HK,芯碁微装,,9630.HK
3661 HK,圣邦股份,,3661.HK
1191 HK,海光芯正,,1191.HK
2249 HK,晶合集成,,2249.HK
522 HK,ASMPT,,0522.HK
1347 HK,华虹半导体,,1347.HK
6082 HK,壁仞科技,,6082.HK
2676 HK,纳芯微,,2676.HK
2631 HK,天岳先进,,2631.HK
981 HK,中芯国际,,0981.HK
1304 HK,峰岹科技,,1304.HK
2865 HK,钧达股份,,2865.HK
968 HK,信义光能,,0968.HK
6865 HK,福莱特玻璃,,6865.HK
2533 HK,黑芝麻智能,,2533.HK
3800 HK,协鑫科技,,3800.HK
2577 HK,英诺赛科,,2577.HK
1385 HK,上海复旦,,1385.HK
100 HK,MINIMAX-WP,,0100.HK
2513 HK,智谱,,2513.HK
68 HK,MANYCORE TECH,,0068.HK
3317 HK,迅策,,3317.HK
6651 HK,五一视界,,6651.HK
2556 HK,迈富时,,2556.HK
9698 HK,万国数据-SW,,9698.HK
3896 HK,金山云,,3896.HK
2586 HK,多点数智,,2586.HK
354 HK,中国软件国际,,0354.HK
20 HK,商汤-W,,0020.HK
2013 HK,微盟集团,,2013.HK
6682 HK,范式智能,,6682.HK
268 HK,金蝶国际,,0268.HK
9660 HK,地平线机器人-W,,9660.HK
1384 HK,滴普科技,,1384.HK
2026 HK,小马智行-W,,2026.HK
909 HK,明源云,,0909.HK
6687 HK,聚水潭,,6687.HK
9678 HK,云知声,,9678.HK
2477 HK,经纬天地,,2477.HK
3268 HK,美格智能,,3268.HK
3296 HK,华勤技术,,3296.HK
3277 HK,长光辰芯,,3277.HK
2476 HK,胜宏科技,,2476.HK
1989 HK,广合科技,,1989.HK
668 HK,安克创新,,0668.HK
1688 HK,领益智造,,1688.HK
537 HK,普源精电,,0537.HK
2475 HK,立讯精密,,2475.HK
6951 HK,三环集团,,6951.HK
1888 HK,建滔积层板,,1888.HK
992 HK,联想集团,,0992.HK
6869 HK,长飞光纤光缆,,6869.HK
148 HK,建滔集团,,0148.HK
3393 HK,威胜控股,,3393.HK
6088 HK,鸿腾精密,,6088.HK
2018 HK,瑞声科技,,2018.HK
6166 HK,剑桥科技,,6166.HK
763 HK,中兴通讯,,0763.HK
2382 HK,舜宇光学科技,,2382.HK
1478 HK,丘钛科技,,1478.HK
6613 HK,蓝思科技,,6613.HK
303 HK,伟易达,,0303.HK
1415 HK,高伟电子,,1415.HK
285 HK,比亚迪电子,,0285.HK
1810 HK,小米集团-W,,1810.HK
2498 HK,速腾聚创,,2498.HK
638 HK,广和通,,0638.HK
6823 HK,香港电讯-SS,,6823.HK
8 HK,电讯盈科,,0008.HK
315 HK,数码通电讯,,0315.HK
941 HK,中国移动,,0941.HK
1310 HK,香港宽频,,1310.HK
788 HK,中国铁塔,,0788.HK
728 HK,中国电信,,0728.HK
762 HK,中国联通,,0762.HK
1308 HK,海丰国际,,1308.HK
2343 HK,太平洋航运,,2343.HK
995 HK,安徽皖通高速公路,,0995.HK
2618 HK,京东物流,,2618.HK
316 HK,东方海外国际,,0316.HK
293 HK,国泰航空,,0293.HK
